Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Elec_6.3x5.4,1,100uF,
C13,0603,1,1uF,
C15,0805,1,22uF,
C2,0805,1,10uF,
C3,CP_Elec_8x10.5,1,470uF,
"C4, C7",0603,2,0.1uF,
D1,D_SMA,1,SMAJ5.0CA,
D2,0603,1,LED,
F1,1812,1,3A,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J2,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,Conn_01x04_Socket,
"R1, R2",0603,2,5.1k,
R3,0603,1,10k,
R4,0603,1,1k,
R7,0603,1,470,
"SW1, SW2",SW_SPST_PTS645Sx43SMTR92,2,SW_Push,
U1,WIFIM-SMD_ESP32-C3-MINI-1,1,ESP32-C3-MINI-1-N4,C2838502
U2,SOT-23-5,1,74AHCT1G125,
U4,SOT-223-3_TabPin2,1,AMS1117-3.3,
