Designator,Mid X,Mid Y,Rotation,Layer
C1,5.5,-33.5,180.0,top
C13,6.0,-12.0,180.0,top
C15,35.5,-3.5,0.0,top
C2,25.5,-27.5,0.0,top
C3,16.5,-32.5,0.0,top
C4,6.0,-9.0,180.0,top
C7,34.3625,-19.95,90.0,top
D1,42.5,-3.5,0.0,top
D2,36.175,-29.0,0.0,top
F1,20.5,-23.0,0.0,top
J1,4.575,-23.39,270.0,top
J2,45.0,-23.0,90.0,top
R1,13.0,-22.0,180.0,top
R2,13.0,-25.0,0.0,top
R3,6.0,-14.5,180.0,top
R4,36.175,-26.0,0.0,top
R7,39.0,-21.5,0.0,top
SW1,30.52,-34.25,0.0,top
SW2,41.52,-34.25,0.0,top
U1,15.3,-11.4,0.0,top
U2,30.8625,-21.45,180.0,top
U4,29.0,-6.0,180.0,top
