led_index,octave,note_name,key_color,x_mm_global,y_mm_global,notes
1,1,C1,white,162.8,339.4,Chain START
2,1,C#1,black,176.55,339.4,
3,1,D1,white,190.3,339.4,
4,1,D#1,black,204.05,339.4,
5,1,E1,white,217.8,339.4,
6,1,F1,white,231.55,339.4,
7,1,F#1,black,245.3,339.4,
8,1,G1,white,259.05,339.4,
9,1,G#1,black,272.8,339.4,
10,1,A1,white,286.55,339.4,
11,1,A#1,black,300.3,339.4,
12,1,B1,white,314.05,339.4,
13,2,C2,white,327.8,339.4,Octave 2 start
14,2,C#2,black,341.55,339.4,
15,2,D2,white,355.3,339.4,
16,2,D#2,black,369.05,339.4,
17,2,E2,white,382.8,339.4,
18,2,F2,white,396.55,339.4,
19,2,F#2,black,410.3,339.4,
20,2,G2,white,424.05,339.4,
21,2,G#2,black,437.8,339.4,
22,2,A2,white,451.55,339.4,
23,2,A#2,black,465.3,339.4,
24,2,B2,white,479.05,339.4,
25,3,C3,white,492.8,339.4,Octave 3 start
26,3,C#3,black,506.55,339.4,
27,3,D3,white,520.3,339.4,
28,3,D#3,black,534.05,339.4,
29,3,E3,white,547.8,339.4,
30,3,F3,white,561.55,339.4,
31,3,F#3,black,575.3,339.4,
32,3,G3,white,589.05,339.4,
33,3,G#3,black,602.8,339.4,
34,3,A3,white,616.55,339.4,
35,3,A#3,black,630.3,339.4,
36,3,B3,white,644.05,339.4,
37,4,C4,white,657.8,339.4,Octave 4 start
38,4,C#4,black,671.55,339.4,
39,4,D4,white,685.3,339.4,
40,4,D#4,black,699.05,339.4,
41,4,E4,white,712.8,339.4,
42,4,F4,white,726.55,339.4,
43,4,F#4,black,740.3,339.4,
44,4,G4,white,754.05,339.4,
45,4,G#4,black,767.8,339.4,
46,4,A4,white,781.55,339.4,
47,4,A#4,black,795.3,339.4,
48,4,B4,white,809.05,339.4,
49,5,C5,white,822.8,339.4,Octave 5 start
50,5,C#5,black,836.55,339.4,
51,5,D5,white,850.3,339.4,
52,5,D#5,black,864.05,339.4,
53,5,E5,white,877.8,339.4,
54,5,F5,white,891.55,339.4,
55,5,F#5,black,905.3,339.4,
56,5,G5,white,919.05,339.4,
57,5,G#5,black,932.8,339.4,
58,5,A5,white,946.55,339.4,
59,5,A#5,black,960.3,339.4,
60,5,B5,white,974.05,339.4,Chain END
