Designator,Mid X,Mid Y,Rotation,Layer
C1,111.5,-293.75,0.0,top
C10,235.3,-293.75,0.0,top
C11,249.05,-293.75,0.0,top
C12,262.8,-293.75,0.0,top
C13,276.55,-293.75,0.0,top
C14,290.275,-293.75,0.0,top
C15,304.025,-293.75,0.0,top
C16,317.775,-293.75,0.0,top
C17,331.525,-293.75,0.0,top
C18,345.275,-293.75,0.0,top
C19,359.025,-293.75,0.0,top
C2,125.25,-293.75,0.0,top
C20,372.775,-293.75,0.0,top
C21,386.525,-293.75,0.0,top
C22,400.25,-293.65,0.0,top
C23,414.0,-293.65,0.0,top
C24,427.75,-293.65,0.0,top
C25,441.5,-293.65,0.0,top
C26,455.25,-293.65,0.0,top
C27,469.0,-293.65,0.0,top
C28,482.75,-293.65,0.0,top
C29,496.5,-293.65,0.0,top
C3,139.05,-293.75,0.0,top
C30,510.25,-293.65,0.0,top
C31,524.0,-293.65,0.0,top
C32,537.75,-293.65,0.0,top
C33,551.275,-293.75,0.0,top
C34,565.025,-293.75,0.0,top
C35,578.775,-293.75,0.0,top
C36,592.525,-293.75,0.0,top
C37,606.275,-293.75,0.0,top
C38,620.025,-293.75,0.0,top
C39,633.775,-293.75,0.0,top
C4,152.75,-293.75,0.0,top
C40,647.525,-293.75,0.0,top
C41,661.275,-293.75,0.0,top
C42,675.025,-293.75,0.0,top
C43,688.775,-293.75,0.0,top
C44,702.525,-293.75,0.0,top
C45,716.275,-293.75,0.0,top
C46,730.025,-293.75,0.0,top
C47,743.775,-293.75,0.0,top
C48,757.525,-293.75,0.0,top
C49,771.275,-293.75,0.0,top
C5,166.5,-293.75,0.0,top
C50,785.025,-293.75,0.0,top
C51,798.775,-293.75,0.0,top
C52,812.525,-293.75,0.0,top
C53,826.275,-293.75,0.0,top
C54,840.025,-293.75,0.0,top
C55,853.775,-293.75,0.0,top
C56,867.525,-293.75,0.0,top
C57,881.275,-293.75,0.0,top
C58,895.025,-293.75,0.0,top
C59,908.775,-293.75,0.0,top
C6,180.25,-293.75,0.0,top
C60,922.525,-293.75,0.0,top
C7,194.05,-293.75,0.0,top
C8,207.8,-293.75,0.0,top
C9,221.55,-293.75,0.0,top
J1,102.92,-295.99,270.0,top
LED1,111.55,-297.4,0.0,top
LED10,235.3,-297.4,0.0,top
LED11,249.05,-297.4,0.0,top
LED12,262.8,-297.4,0.0,top
LED13,276.55,-297.4,0.0,top
LED14,290.3,-297.4,0.0,top
LED15,304.05,-297.4,0.0,top
LED16,317.8,-297.4,0.0,top
LED17,331.55,-297.4,0.0,top
LED18,345.3,-297.4,0.0,top
LED19,359.05,-297.4,0.0,top
LED2,125.3,-297.4,0.0,top
LED20,372.8,-297.4,0.0,top
LED21,386.55,-297.4,0.0,top
LED22,400.3,-297.4,0.0,top
LED23,414.05,-297.4,0.0,top
LED24,427.8,-297.4,0.0,top
LED25,441.55,-297.4,0.0,top
LED26,455.3,-297.4,0.0,top
LED27,469.05,-297.4,0.0,top
LED28,482.8,-297.4,0.0,top
LED29,496.55,-297.4,0.0,top
LED3,139.05,-297.4,0.0,top
LED30,510.3,-297.4,0.0,top
LED31,524.05,-297.4,0.0,top
LED32,537.8,-297.4,0.0,top
LED33,551.55,-297.4,0.0,top
LED34,565.3,-297.4,0.0,top
LED35,579.05,-297.4,0.0,top
LED36,592.8,-297.4,0.0,top
LED37,606.55,-297.4,0.0,top
LED38,620.3,-297.4,0.0,top
LED39,634.05,-297.4,0.0,top
LED4,152.8,-297.4,0.0,top
LED40,647.8,-297.4,0.0,top
LED41,661.55,-297.4,0.0,top
LED42,675.3,-297.4,0.0,top
LED43,689.05,-297.4,0.0,top
LED44,702.8,-297.4,0.0,top
LED45,716.55,-297.4,0.0,top
LED46,730.3,-297.4,0.0,top
LED47,744.05,-297.4,0.0,top
LED48,757.8,-297.4,0.0,top
LED49,771.55,-297.4,0.0,top
LED5,166.55,-297.4,0.0,top
LED50,785.3,-297.4,0.0,top
LED51,799.05,-297.4,0.0,top
LED52,812.8,-297.4,0.0,top
LED53,826.55,-297.4,0.0,top
LED54,840.3,-297.4,0.0,top
LED55,854.05,-297.4,0.0,top
LED56,867.8,-297.4,0.0,top
LED57,881.55,-297.4,0.0,top
LED58,895.3,-297.4,0.0,top
LED59,909.05,-297.4,0.0,top
LED6,180.3,-297.4,0.0,top
LED60,922.8,-297.4,0.0,top
LED7,194.05,-297.4,0.0,top
LED8,207.8,-297.4,0.0,top
LED9,221.55,-297.4,0.0,top
