Designator,Mid X,Mid Y,Rotation,Layer
C1,14.401918,-5.0,0.0,top
C10,137.773918,-5.0,0.0,top
C11,151.481918,-5.0,0.0,top
C12,165.189918,-5.0,0.0,top
C2,28.109918,-5.0,0.0,top
C3,41.817918,-5.0,0.0,top
C4,55.525918,-5.0,0.0,top
C5,69.233918,-5.0,0.0,top
C6,82.941918,-5.0,0.0,top
C7,96.649918,-5.0,0.0,top
C8,110.357918,-5.0,0.0,top
C9,124.065918,-5.0,0.0,top
J1,7.8,-6.8,270.0,top
LED1,14.401918,-8.5,0.0,top
LED10,137.773918,-8.5,0.0,top
LED11,151.481918,-8.5,0.0,top
LED12,165.189918,-8.5,0.0,top
LED2,28.109918,-8.5,0.0,top
LED3,41.817918,-8.5,0.0,top
LED4,55.525918,-8.5,0.0,top
LED5,69.233918,-8.5,0.0,top
LED6,82.941918,-8.5,0.0,top
LED7,96.649918,-8.5,0.0,top
LED8,110.357918,-8.5,0.0,top
LED9,124.065918,-8.5,0.0,top
